Pais,Estado,delegaci,localidad
México,Baja California,Ensenada,Adobe Guadalupe
México,Chiapas,Aldama,Chayomte
México,Nayarit,Tepic,Adofra
México,Zacatecas,Pinos,Colonia Vicente Guerrero
México,Durango,El Oro,El Agostadero
México,Puebla,Acajete,Acajete
México,Guanajuato,Abasolo,Abasolo
México,Aguascalientes,Aguascalientes,Acapulco
México,Baja California,Ensenada,Adobe Guadalupe
Israel,Tel-Aviv,,
México,Puebla,Acajete,Acajete
México,Colima,Manzanillo,Antenas de Microondas
México,Jalisco,Acatic,Acatic
México,Guerrero,Acatepec,Agua Tomagua
México,Hidalgo,Actopan,Cuarta Manzana Chicavasco (La Ladera Chicavasco)
México,Morelos,Ocuituco,Calderas
México,Oaxaca,Abejones,Abejones
México,Nayarit,Acaponeta,Acaponeta
México,Puebla,Aljojuca,Aljojuca
Croacia,Bjelovarsko-bilogorska,,
México,Hidalgo,Actopan,El Boxtha
México,Morelos,Temoac,Rancho de Amancio Vara
México,Tabasco,Macuspana,Abasolo
México,Campeche,Calakmul,Araucarias
Australia,Queensland,,
México,Campeche,Candelaria,Altamira
México,Sinaloa,El Fuerte,Agua Escondida
México,Guanajuato,Atarjea,Cerro Prieto
México,Durango,Lerdo,Anselmo Sifuentes
Filipinas,Abra,,
México,Jalisco,Acatic,Acatic
México,Aguascalientes,El Llano,Amapolas de Abajo
México,Colima,Colima,Agua Caliente [Balneario]
México,Guerrero,Arcelia,Achotla
México,Zacatecas,Apozol,Achoquen
México,Tlaxcala,Acuamanala de Miguel Hidalgo,Acuamanala
México,Tamaulipas,Abasolo,Abasolo
México,Sonora,Aconchi,Agua Caliente
Haiti,Centre,,
México,San Luis Potos?,Ahualulco,Ahualulco del Sonido 13
México,Quintana Roo,Solidaridad,Agua Viva
México,Quintana Roo,Cozumel,Cozumel
México,Tlaxcala,Yauhquemehcan,Barrio de Atencingo
Barbados,Christ Church,,
Thailand,Krabi,,
México,Oaxaca,Reyes Etla,Barrio de San Juan de Dios
Bangladesh,Barisal,,
Brazil,Rio de Janeiro,,
Cuba,Cienfuegos,,
Vietnam,Dong Thap,,
